timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195928.00607991,103632,-352080891,1490435193,1930,1930,-40,-26,2,31806
1437195928.25319600,104234,-352080883,1490435183,1920,1920,-39,-26,2,31807
1437195928.65944004,105037,-352080878,1490435186,1910,1910,-39,-26,2,31811
1437195928.91645598,106040,-352080892,1490435200,1920,1920,-38,-26,1,31811
1437195929.58975196,107025,-352080897,1490435208,1890,1890,-38,-26,0,31813
1437195930.51510382,108030,-352080916,1490435214,1850,1850,-37,-26,0,31815
1437195931.50151205,108834,-352080945,1490435223,1840,1840,-39,-27,0,31817
1437195932.23280787,109637,-352080951,1490435225,1830,1830,-37,-26,0,31818
1437195932.85801196,110441,-352080947,1490435219,1800,1800,-38,-26,-1,31818
1437195933.77950788,111224,-352080950,1490435215,1780,1780,-38,-27,-1,31816
1437195934.34273195,111827,-352080951,1490435200,1750,1750,-37,-26,-1,31815
1437195935.01310396,112429,-352080953,1490435195,1740,1740,-36,-26,0,31813
1437195935.63315201,113031,-352080938,1490435187,1740,1740,-36,-26,0,31813
1437195936.06336403,113634,-352080915,1490435181,1760,1760,-36,-26,0,31815
1437195936.66662002,114036,-352080911,1490435172,1770,1770,-36,-26,0,31814
1437195937.09575987,114438,-352080911,1490435156,1760,1760,-35,-25,0,31814
1437195937.50999188,115042,-352080922,1490435157,1770,1770,-35,-25,0,31814
1437195937.96005201,115423,-352080917,1490435149,1780,1780,-35,-26,1,31815
1437195938.36615992,115825,-352080929,1490435141,1810,1810,-35,-26,2,31814
1437195938.64643598,116227,-352080941,1490435135,1820,1820,-35,-27,2,31813
1437195939.14861202,116630,-352080928,1490435130,1830,1830,-34,-26,2,31814
1437195939.43316388,116831,-352080924,1490435128,1820,1820,-35,-27,2,31816
1437195939.81490803,117233,-352080930,1490435132,1800,1800,-34,-26,1,31815
1437195940.13797593,117634,-352080945,1490435134,1800,1800,-35,-26,1,31815
1437195940.59714794,118036,-352080944,1490435137,1800,1800,-35,-26,2,31814
1437195940.82021189,118238,-352080940,1490435132,1800,1800,-36,-27,1,31814
1437195941.21841598,118620,-352080924,1490435130,1800,1800,-35,-26,2,31814
1437195941.63191199,119022,-352080925,1490435123,1800,1800,-34,-26,2,31812
1437195941.95059586,119223,-352080940,1490435121,1790,1790,-34,-26,2,31812
1437195942.46497202,119624,-352080947,1490435125,1780,1780,-35,-27,1,31811
1437195942.96820402,119825,-352080951,1490435127,1800,1800,-35,-27,1,31813
1437195943.29427195,120246,-352080962,1490435126,1800,1800,-34,-26,1,31811
1437195943.70930004,120629,-352080948,1490435122,1800,1800,-33,-26,2,31810
1437195944.07056403,120830,-352080948,1490435124,1820,1820,-35,-26,2,31809
1437195944.32477593,121232,-352080964,1490435127,1830,1830,-34,-25,3,31808
1437195944.73822403,121633,-352080944,1490435137,1830,1830,-34,-25,3,31809
