timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437195927.98106790,5175,5542,3
1437195928.21110797,5172,5525,3
1437195928.59544802,5125,5525,3
1437195928.87631989,5169,5544,3
1437195929.52360797,5156,5527,3
1437195930.45000386,5170,5527,3
1437195931.44548798,5188,5527,3
1437195932.18165183,5182,5534,3
1437195932.82609200,5172,5522,3
1437195933.72051191,5164,5530,3
1437195934.28153992,5188,5525,3
1437195934.95700002,5182,5530,3
1437195935.57711601,5164,5527,3
1437195936.03201604,5159,5532,3
1437195936.61145997,5188,5527,3
1437195937.06458783,5148,5527,3
1437195937.47784400,5169,5532,3
1437195937.80693603,5188,5532,3
1437195938.30212402,5183,5530,3
1437195938.61425996,5164,5530,3
1437195939.09250784,5182,5534,3
1437195939.37967205,5162,5522,3
1437195939.76081586,5151,5517,3
1437195940.08892393,5156,5530,3
1437195940.54638386,5188,5530,3
1437195940.78824401,5170,5522,3
1437195941.16129994,5149,5520,3
1437195941.57541203,5182,5530,3
1437195941.89972401,5130,5534,3
1437195942.40574384,5143,5532,3
1437195942.92800403,5194,5527,3
1437195943.24018002,5151,5530,3
1437195943.67835999,5146,5522,3
1437195944.02457190,5182,5527,3
1437195944.26758385,5169,5532,3
1437195944.68166804,5151,5517,3
1437195944.96585989,5182,5530,3
1437195945.20497584,5162,5525,3
1437195945.45409989,5169,5525,3
1437195945.75851583,5149,5530,3
1437195946.17136002,5143,5530,3
1437195946.58152795,5149,5525,3
1437195946.99483991,5151,5525,3
1437195947.42107987,5169,5525,3
1437195947.82506394,5183,5532,3
1437195948.15930390,5149,5527,3
1437195948.86155987,5177,5527,3
1437195949.16763592,5194,5530,3
1437195949.41455984,5143,5530,3
1437195949.67996001,5138,5534,3
1437195949.99892402,5154,5520,3
1437195950.27947593,5151,5542,3
1437195950.68948388,5157,5525,3
1437195951.10166788,5157,5525,3
1437195951.54469204,5130,5525,3
1437195951.86093593,5153,5522,3
1437195952.16293597,5156,5522,3
1437195952.54802394,5170,5530,3
1437195952.80709600,5169,5527,3
1437195953.07023191,5169,5527,3
1437195953.41747999,5156,5530,3
1437195953.72456384,5185,5530,3
1437195953.96369195,5170,5534,3
1437195954.38477588,5182,5532,3
1437195954.64905190,5161,5525,3
1437195954.98520398,5138,5530,3
1437195955.24349189,5162,5525,3
1437195955.65839195,5169,5527,3
1437195956.00427985,5143,5522,3
1437195956.24152803,5157,5527,3
1437195956.51581597,5175,5527,3
1437195956.83197999,5143,5525,3
1437195957.11664796,5136,5527,3
1437195957.51970005,5170,5544,3
1437195957.93350387,5146,5527,3
1437195958.25657201,5156,5532,3
1437195958.60457993,5149,5530,3
1437195958.91707993,5133,5527,3
1437195959.24681592,5149,5527,3
1437195959.56508803,5156,5522,3
1437195959.82920790,5148,5527,3
1437195960.21332788,5175,5546,3
1437195960.62640405,5202,5532,3
1437195961.04066396,5175,5527,3
1437195961.29579186,5169,5530,3
1437195961.70183182,5162,5527,3
1437195961.97907186,5178,5532,3
1437195962.31512785,5170,5527,3
1437195962.64242387,5182,5534,3
1437195962.87045193,5169,5527,3
1437195963.28461599,5204,5527,3
1437195963.55649185,5202,5527,3
1437195964.04887605,5161,5525,3
1437195964.38311982,5177,5520,3
1437195964.70293999,5151,5530,3
1437195964.90938401,5143,5525,3
1437195965.25239587,5169,5532,3
1437195965.57319188,5162,5522,3
1437195966.12078786,5182,5525,3
1437195966.45393991,5136,5525,3
1437195966.83714390,5157,5527,3
1437195967.25130796,5170,5525,3
1437195967.66454005,5183,5527,3
1437195967.91986394,5157,5532,3
1437195968.18864393,5169,5530,3
1437195968.44540000,5156,5527,3
1437195968.94998002,5157,5532,3
1437195969.25599194,5151,5530,3
1437195969.53314400,5188,5522,3
1437195969.87933183,5169,5532,3
1437195970.29382396,5182,5534,3
1437195970.59472394,5169,5527,3
1437195971.02191997,5182,5520,3
1437195971.34603596,5144,5527,3
1437195971.56722403,5182,5522,3
1437195972.01525593,5169,5520,3
1437195972.27540803,5130,5522,3
1437195972.67252803,5162,5532,3
1437195972.91264391,5159,5532,3
1437195973.22282004,5157,5525,3
1437195973.51237583,5162,5532,3
1437195973.82405186,5144,5520,3
1437195974.19427991,5143,5527,3
1437195974.60870790,5169,5532,3
1437195974.84640789,5196,5525,3
1437195975.14867592,5162,5525,3
1437195975.44266391,5149,5530,3
1437195975.68594003,5169,5534,3
1437195975.91781592,5146,5525,3
1437195976.33201599,5170,5527,3
1437195976.57708001,5149,5530,3
1437195977.01777601,5169,5525,3
1437195977.33164787,5146,5520,3
1437195977.56857586,5144,5527,3
1437195977.84761190,5182,5530,3
1437195978.18373990,5157,5527,3
1437195978.47190785,5169,5546,3
1437195978.70104384,5143,5525,3
1437195979.02140784,5170,5532,3
1437195979.43535590,5162,5525,3
1437195979.78362393,5162,5525,3
1437195980.02133584,5170,5530,3
1437195980.33570790,5170,5527,3
1437195980.56388402,5169,5532,3
1437195980.88100791,5144,5525,3
1437195981.33021593,5175,5525,3
1437195981.74333596,5159,5525,3
1437195982.16664004,5169,5530,3
1437195982.57162786,5151,5530,3
1437195982.89473605,5175,5530,3
1437195983.15793204,5177,5520,3
1437195983.43796396,5182,5539,3
1437195983.71739984,5156,5530,3
1437195984.08425999,5201,5530,3
1437195984.47041988,5164,5525,3
1437195984.84801197,5156,5522,3
1437195985.12279987,5175,5527,3
1437195985.44280005,5162,5525,3
1437195986.08912802,5144,5530,3
1437195986.34437203,5173,5539,3
1437195986.75047994,5169,5525,3
1437195987.05864382,5162,5527,3
1437195987.33977604,5151,5527,3
1437195987.74490404,5188,5527,3
1437195988.11001587,5159,5537,3
1437195988.36716795,5169,5527,3
1437195988.78129983,5151,5534,3
1437195989.06439590,5173,5532,3
1437195989.30559587,5169,5525,3
1437195989.54475594,5164,5530,3
1437195989.80195999,5149,5522,3
1437195990.13385201,5165,5525,3
1437195990.38294387,5169,5525,3
1437195990.85412788,5182,5527,3
1437195991.20301199,5169,5527,3
1437195991.47602391,5169,5537,3
1437195991.88962793,5149,5527,3
1437195992.16574383,5162,5525,3
1437195992.51789999,5169,5530,3
1437195992.92403197,5173,5530,3
1437195993.33821988,5169,5527,3
1437195993.75544000,5169,5520,3
1437195994.07673192,5169,5527,3
1437195994.42270803,5175,5525,3
1437195994.65994787,5169,5527,3
1437195994.89883995,5162,5527,3
1437195995.20401597,5175,5530,3
1437195995.45415187,5162,5527,3
1437195995.76139188,5194,5525,3
