timestamp,SCALED_IMU2.time_boot_ms,SCALED_IMU2.xacc,SCALED_IMU2.yacc,SCALED_IMU2.zacc,SCALED_IMU2.xgyro,SCALED_IMU2.ygyro,SCALED_IMU2.zgyro,SCALED_IMU2.xmag,SCALED_IMU2.ymag,SCALED_IMU2.zmag,SCALED_IMU2.temperature
1437195927.89722395,103656,34,3,-1008,12,-18,5,115,229,-546,0
1437195928.17715597,104379,33,-4,-993,11,-16,3,116,226,-549,0
1437195928.56224799,105223,33,-4,-999,16,-13,7,117,229,-547,0
1437195928.83345199,106186,38,-11,-987,8,-11,2,118,225,-543,0
1437195929.48269200,107191,37,0,-997,8,-12,6,116,228,-541,0
1437195930.40914798,108115,28,2,-996,10,-10,4,118,228,-551,0
1437195931.34343982,108959,42,-1,-1001,14,-9,14,118,226,-551,0
1437195932.16877604,109723,35,-9,-1001,13,-15,4,115,228,-548,0
1437195932.78412390,110486,40,-6,-992,13,-10,5,117,227,-542,0
1437195933.61531591,111249,33,-18,-996,14,-17,4,115,227,-546,0
1437195934.23112392,111932,33,-3,-989,16,-8,11,117,225,-546,0
1437195934.85477185,112534,35,1,-995,13,-14,8,118,225,-546,0
1437195935.47508001,113136,41,-11,-999,12,-18,8,116,227,-550,0
1437195935.99734783,113659,37,-8,-991,8,-10,4,116,227,-542,0
1437195936.50856400,114181,34,-3,-1004,15,-11,9,117,225,-550,0
1437195937.03082395,114625,31,0,-988,8,-10,7,116,228,-544,0
1437195937.44390392,115067,33,-3,-998,10,-16,9,117,226,-544,0
1437195937.76497602,115468,37,-16,-1003,13,-4,7,116,228,-549,0
1437195938.26933193,115870,31,-2,-994,15,-13,5,116,227,-542,0
1437195938.57244396,116273,32,-4,-1006,12,-10,5,114,230,-542,0
1437195938.99143600,116635,33,-8,-1004,17,-15,10,116,229,-547,0
1437195939.33963990,116997,39,-4,-993,11,-12,2,117,230,-549,0
1437195939.74785995,117359,34,-5,-994,8,-12,2,116,229,-546,0
1437195940.05408788,117720,28,-3,-995,13,-8,8,115,231,-547,0
1437195940.44068384,118082,38,1,-987,14,-12,7,117,229,-549,0
1437195940.75431204,118403,39,-10,-1000,9,-14,-1,116,231,-547,0
1437195941.05933189,118725,31,-4,-997,6,-12,3,115,230,-548,0
1437195941.47243190,119047,47,-6,-996,8,-16,6,117,223,-545,0
1437195941.88674784,119368,39,-8,-999,11,-14,4,115,229,-541,0
1437195942.36077595,119689,43,0,-990,12,-7,5,114,229,-547,0
1437195942.77799201,120010,30,0,-988,14,-7,5,116,227,-546,0
1437195943.19716382,120332,35,0,-995,9,-17,6,115,229,-541,0
1437195943.54335999,120654,35,-6,-994,12,-10,2,117,227,-548,0
